year,sex,Age,Prop
2005,Male,26,0.002075373871112312
2005,Female,28,0.0015348209784893136
2005,Male,28,0.0023823879148900783
2005,Female,30,4.671884324029056e-4
2005,Male,30,0.002711118916321411
2005,Female,31,0.004574737848157737
2005,Male,31,0.0045050201956089225
2006,Female,2,0.001894514436814839
2006,Male,2,0.001894514436814839
2006,Female,3,0.004290197610702571
2006,Male,3,0.00959801126296768
2006,Female,4,0.01738101918829937
2006,Male,4,0.02094797903317985
2006,Female,5,0.06483333082597119
2006,Male,5,0.07074800753267992
2006,Female,6,0.09825183335274262
2006,Male,6,0.10002160938957191
2006,Female,7,0.0807602853853878
2006,Male,7,0.06373765836504801
2006,Female,8,0.07631152291143875
2006,Male,8,0.03979526698784211
2006,Female,9,0.04599172788659802
2006,Male,9,0.020097896532801477
2006,Female,10,0.0301000149321806
2006,Male,10,0.010649251829803998
2006,Female,11,0.020585684349334242
2006,Male,11,0.016587499419695746
2006,Female,12,0.013341282780547605
2006,Male,12,0.00751039706759174
2006,Female,13,0.007176306715939203
2006,Male,13,0.004905927229723715
2006,Female,14,0.003583531891440776
2006,Male,14,0.011749299454113269
2006,Female,15,0.008663321392313562
2006,Male,15,0.00916449425521844
2006,Female,16,0.006185756063563385
2006,Male,16,0.009060566602823783
2006,Female,17,0.004926573913578933
2006,Male,17,0.006637457751431799
2006,Female,18,0.004595928646004565
2006,Male,18,0.006225238957416862
2006,Female,19,0.004341836097860355
2006,Male,19,0.0032528866238664077
2006,Female,20,0.004017093194537193
2006,Male,20,0.004915695716633696
2006,Female,21,0.006268752054293069
2006,Male,21,0.0114988989921637
2006,Female,22,0.003576310383581738
2006,Male,22,0.008190629527898598
2006,Male,23,0.0034331295519451394
2006,Female,24,0.00178632684724777
2006,Male,24,0.004540268439040858
2006,Female,25,0.0018226429398339663
2006,Male,25,0.004399679329855914
2006,Male,26,0.001825980666141557
2006,Female,27,0.0016071488858035823
2006,Male,27,0.001466559776618638
2006,Female,28,0.001533098180527581
2006,Male,28,0.0024099443087336114
2006,Female,29,0.00178632684724777
2006,Male,29,0.002471183596477561
2006,Female,30,0.002307319066719582
2006,Male,30,0.0032528866238664077
2006,Female,31,0.011821644107900247
2006,Male,31,0.009269849849621863
2007,Female,2,0.0011533152146165737
2007,Male,2,0.0028885075695235254
2007,Female,3,0.008954767602595564
2007,Male,3,0.00651931293623551
2007,Female,4,0.032349966433444205
2007,Male,4,0.0259740455999111
2007,Female,5,0.05172584040741135
2007,Male,5,0.048813522878794195
2007,Female,6,0.07429226383541139
2007,Male,6,0.059010171415643
2007,Female,7,0.09547859255836016
2007,Male,7,0.07806395103920412
2007,Female,8,0.07362129760783043
2007,Male,8,0.06582501459051304
