ParName   Value   Gradient
log_F_devs_fish3(1988)     0.695572  5.59714e-07
log_F_devs_fish3(1989)     0.590055  6.78912e-07
log_F_devs_fish3(1990)     0.258974 -7.10554e-07
log_F_devs_fish3(1991)   -0.0650702 -1.57098e-06
log_F_devs_fish3(1992)   -0.0429635 -2.64637e-07
log_F_devs_fish3(1993)     -0.12729 -1.34108e-06
log_F_devs_fish3(1994)    0.0967798 -1.53114e-06
log_F_devs_fish3(1995)    0.0464268 -1.36224e-06
log_F_devs_fish3(1996)   -0.0665856  1.01139e-07
log_F_devs_fish3(1997)    -0.317872  2.80935e-07
log_F_devs_fish3(1998)    -0.375093  1.17345e-06
log_F_devs_fish3(1999)    -0.107869 -2.40586e-07
log_F_devs_fish3(2000)    -0.115194 -5.65224e-07
log_F_devs_fish3(2001)      -0.2643 -3.54071e-07
log_F_devs_fish3(2002)     -0.10503 -1.05457e-06
log_F_devs_fish3(2003)    -0.237998 -1.02699e-06
log_F_devs_fish3(2004)     -0.47515 -1.74736e-06
log_F_devs_fish3(2005)    -0.534212 -8.15984e-07
log_F_devs_fish3(2006)     -0.72782 -8.74903e-07
log_F_devs_fish3(2007)    -0.692666 -1.26868e-06
log_F_devs_fish3(2008)    -0.733114 -1.08441e-06
log_F_devs_fish3(2009)    -0.747679 -6.76853e-07
log_F_devs_fish3(2010)    -0.778621 -6.20652e-07
log_F_devs_fish3(2011)    -0.597064  -1.1865e-07
log_F_devs_fish3(2012)    -0.637934 -1.12215e-07
log_F_devs_fish3(2013)    -0.656365  5.25302e-07
log_F_devs_fish3(2014)    -0.616676  7.29438e-07
log_F_devs_fish3(2015)    -0.516155  1.34594e-06
log_F_devs_fish3(2016)    -0.371923 -1.22659e-06
log_F_devs_fish3(2017)    0.0852137  6.09839e-07
log_F_devs_fish3(2018)     0.385792  1.44441e-07
log_F_devs_fish3(2019)     0.428717  5.26021e-07
log_F_devs_fish3(2020)     0.592878  1.40114e-07
log_F_devs_fish3(2021)   -0.0363436  8.04151e-07
log_F_devs_fish3(2022)   -0.0549295 -1.71597e-07
log_F_devs_fish3(2023)   -0.0813406 -5.71605e-07
log_F_devs_fish3(2024)   0.00573484  1.47976e-07
log_q_srv1      1.85283  1.37828e-05
log_q_srv2       1.5214  6.06912e-05
log_q_srv6      1.55236 -2.36104e-06
log_q_srv7    -0.175384 -6.30566e-06
log_q_srv8     -6.54191  4.29983e-07
log_q_LL_fish_recent     -7.29796  5.83292e-06
log_a50_fish1_f      1.39608 -9.47513e-07
log_delta_fish1_f    -0.621757 -2.84458e-07
log_a50_fish1_m      1.89374 -5.36586e-07
log_a50_fish3_f      1.73327 -7.30705e-07
log_delta_fish3_f      2.30477  3.16354e-06
log_a50_fish3_m      2.06668 -5.25255e-07
log_a50_fish4_f      1.21552 -2.44945e-07
log_delta_fish4_f     0.564476    2.922e-07
log_a50_fish4_m      1.48381 -2.84342e-06
log_delta_fish4_m   -0.0747202 -4.70123e-07
log_a50_fish5_f     0.650508 -2.36382e-06
log_delta_fish5_f     0.861865 -1.23251e-07
log_a50_fish5_m     0.798579 -1.04996e-06
log_delta_fish5_m     0.222884  1.20218e-06
log_a50_srv1_f      1.09585 -5.47407e-06
log_delta_srv1_f     0.928777 -1.15095e-06
log_a50_srv1_m     0.977079 -4.25523e-06
log_delta_srv1_m     0.883179 -1.54301e-06
log_a50_srv7_f    -0.401843  2.45929e-06
log_a50_srv7_m     -1.34365  4.55106e-07
log_a50_srv10_f     0.661642  -2.9786e-06
log_a50_srv10_m     0.570278 -3.19911e-06
